time,logN,pH,strain
0,5.924279286,3.4,3
15,6.610660163,3.4,3
15,6.318063335,3.4,3
15,6.338456494,3.4,3
30,5.919078092,3.4,3
30,5.716003344,3.4,3
30,5.740362689,3.4,3
45,5.521138084,3.4,3
45,5.488550717,3.4,3
45,5.245512668,3.4,3
60,3.73239376,3.4,3
60,3.653212514,3.4,3
60,4.096910013,3.4,3
75,3.176091259,3.4,3
75,2,3.4,3
75,2.903089987,3.4,3
0,6.653212514,3.6,3
0,5.959041392,3.6,3
0,5.897627091,3.6,3
20,5.838849091,3.6,3
20,5.880813592,3.6,3
20,5.447158031,3.6,3
40,6.056904851,3.6,3
40,5.785329835,3.6,3
40,5.86332286,3.6,3
60,5.643452676,3.6,3
60,5.69019608,3.6,3
60,5.770852012,3.6,3
80,5.017033339,3.6,3
80,4.986771734,3.6,3
80,4.857332496,3.6,3
100,3.763427994,3.6,3
100,4.301029996,3.6,3
100,4.230448921,3.6,3
120,3.120573931,3.6,3
120,2.880813592,3.6,3
120,3,3.6,3
140,2.897627091,3.6,3
140,2.612783857,3.6,3
140,2.079181246,3.6,3
0,6.658964843,3.8,3
0,5.959041392,3.8,3
0,5.897627091,3.8,3
30,5.86332286,3.8,3
30,5.819543936,3.8,3
30,5.819543936,3.8,3
60,5.806179974,3.8,3
60,5.748188027,3.8,3
60,5.897627091,3.8,3
90,6.149219113,3.8,3
90,5.959041392,3.8,3
90,6.033423755,3.8,3
120,5.77815125,3.8,3
120,5.799340549,3.8,3
120,5.633468456,3.8,3
150,5.838849091,3.8,3
150,5.880813592,3.8,3
150,5.591064607,3.8,3
180,5.799340549,3.8,3
180,5.939519253,3.8,3
180,6,3.8,3
210,5.173186268,3.8,3
210,5.23299611,3.8,3
210,5.635483747,3.8,3
240,5.113943352,3.8,3
240,5.204119983,3.8,3
240,5.292256071,3.8,3
0,6.004321374,3,4
0,6.045322979,3,4
0,5.977723605,3,4
1.5,5.851258349,3,4
1.5,5.740362689,3,4
1.5,5.832508913,3,4
3,5.531478917,3,4
3,5.681241237,3,4
3,5.51851394,3,4
4.5,4.954242509,3,4
4.5,4.84509804,3,4
4.5,5.176091259,3,4
6,3.954242509,3,4
6,3.477121255,3,4
6,4.079181246,3,4
7.5,3.079181246,3,4
7.5,2,3,4
7.5,2,3,4
9,1.84509804,3,4
9,1,3,4
9,1.602059991,3,4
0,6.1430148,3.2,4
0,6.139879086,3.2,4
0,6.170261715,3.2,4
