time,logN,pH,strain
240,4.235528447,3.8,10
240,4.482873584,3.8,10
240,3.662757832,3.8,10
0,6.120573931,3,11
0,6.1430148,3,11
0,6.041392685,3,11
1.5,5.792391689,3,11
1.5,5.84509804,3,11
1.5,5.991226076,3,11
3,5.69019608,3,11
3,5.72427587,3,11
3,5.857332496,3,11
4.5,4.477121255,3,11
4.5,4.799340549,3,11
4.5,5.041392685,3,11
6,4.049218023,3,11
6,3.431363764,3,11
6,4.944482672,3,11
7.5,1.301029996,3,11
7.5,1.903089987,3,11
7.5,4.367355921,3,11
9,2.230448921,3,11
9,3.012837225,3,11
9,3.387389826,3,11
10.5,1,3,11
10.5,2.361727836,3,11
10.5,2.748188027,3,11
0,6.209515015,3.2,11
0,6.214843848,3.2,11
0,6.127104798,3.2,11
4,6.089905111,3.2,11
4,6.238046103,3.2,11
4,6.075546961,3.2,11
8,4.84509804,3.2,11
8,4.954242509,3.2,11
8,5.255272505,3.2,11
12,3.301029996,3.2,11
12,3,3.2,11
12,3,3.2,11
16,2.84509804,3.2,11
16,2.84509804,3.2,11
16,2,3.2,11
0,5.763427994,3.4,11
0,5.826074803,3.4,11
0,5.707570176,3.4,11
15,5.755874856,3.4,11
15,5.568201724,3.4,11
15,5.959041392,3.4,11
30,5.806179974,3.4,11
30,5.72427587,3.4,11
30,5.770852012,3.4,11
45,5.158362492,3.4,11
45,5.342422681,3.4,11
45,5.301029996,3.4,11
60,4.158362492,3.4,11
60,4.45331834,3.4,11
60,4.255272505,3.4,11
75,3.832508913,3.4,11
75,3.431363764,3.4,11
75,3.505149978,3.4,11
90,2.146128036,3.4,11
90,1,3.4,11
90,1.698970004,3.4,11
0,6.1430148,3.6,11
0,6.041392685,3.6,11
0,6.029383778,3.6,11
20,6.222716471,3.6,11
20,6.176091259,3.6,11
20,5.949390007,3.6,11
40,6.017033339,3.6,11
40,6.021189299,3.6,11
40,5.740362689,3.6,11
60,5.387389826,3.6,11
60,4.963787827,3.6,11
60,5.240549248,3.6,11
80,4.643452676,3.6,11
80,4.462397998,3.6,11
80,4.944482672,3.6,11
100,2.903089987,3.6,11
100,3.176091259,3.6,11
100,3.431363764,3.6,11
120,1.301029996,3.6,11
120,1.301029996,3.6,11
120,1,3.6,11
0,6.1430148,3.8,11
0,6.041392685,3.8,11
0,6.029383778,3.8,11
30,6.056904851,3.8,11
30,6.004321374,3.8,11
30,5.51851394,3.8,11
60,5.84509804,3.8,11
60,5.934498451,3.8,11
60,5.875061263,3.8,11
90,6.017033339,3.8,11
90,5.963787827,3.8,11
90,5.903089987,3.8,11
120,6.068185862,3.8,11
120,5.505149978,3.8,11
120,5.963787827,3.8,11
150,5.681241237,3.8,11
150,4.698970004,3.8,11
150,5.812913357,3.8,11
180,5.447158031,3.8,11
180,5.240549248,3.8,11
180,5.309630167,3.8,11
210,4.361727836,3.8,11
210,4.28780173,3.8,11
210,4.385606274,3.8,11
240,4.334453751,3.8,11
240,3.991226076,3.8,11
240,3.51851394,3.8,11
0,5.792391689,3.3,3
0,6.178976947,3.3,3
0,4.602059991,3.3,3
8,5.698970004,3.3,3
8,5.968482949,3.3,3
8,5.84509804,3.3,3
16,5.897627091,3.3,3
16,5.86923172,3.3,3
16,5.949390007,3.3,3
24,5.716003344,3.3,3
24,5.919078092,3.3,3
24,5.643452676,3.3,3
32,5.127104798,3.3,3
32,5.418301291,3.3,3
32,5.193124598,3.3,3
40,4.428134794,3.3,3
40,4.806179974,3.3,3
40,4.309630167,3.3,3
48,3.77815125,3.3,3
48,2.799340549,3.3,3
48,3.494154594,3.3,3
56,3.008600172,3.3,3
56,3.292256071,3.3,3
56,3.071882007,3.3,3
0,5.919078092,3.3,5
0,5.826074803,3.3,5
0,5.838849091,3.3,5
8,4.77815125,3.3,5
8,5.707570176,3.3,5
8,5.73239376,3.3,5
16,5.643452676,3.3,5
16,5.929418926,3.3,5
16,5.342422681,3.3,5
24,4.991226076,3.3,5
24,5.334453751,3.3,5
24,4.924279286,3.3,5
32,4.235528447,3.3,5
32,4.597695186,3.3,5
32,4.602059991,3.3,5
40,4.204119983,3.3,5
40,4.318063335,3.3,5
40,4.806179974,3.3,5
48,2.991226076,3.3,5
48,2.954242509,3.3,5
48,3.103803721,3.3,5
56,2.785329835,3.3,5
56,2.851258349,3.3,5
56,2.812913357,3.3,5
64,2.770852012,3.3,5
64,1.698970004,3.3,5
64,2.477121255,3.3,5
0,5.897627091,3.3,10
0,5.986771734,3.3,10
0,6.130333768,3.3,10
8,5.84509804,3.3,10
8,5.806179974,3.3,10
8,5.698970004,3.3,10
16,4.903089987,3.3,10
16,5.672097858,3.3,10
16,4,3.3,10
24,5.342422681,3.3,10
24,5.491361694,3.3,10
24,5.653212514,3.3,10
32,4.579783597,3.3,10
32,5.372912003,3.3,10
32,5.193124598,3.3,10
40,3.556302501,3.3,10
40,4.045322979,3.3,10
40,3.77815125,3.3,10
48,2.86332286,3.3,10
48,2.897627091,3.3,10
48,2.556302501,3.3,10
0,5.792391689,3.5,3
0,6.178976947,3.5,3
0,4.602059991,3.5,3
18,5.544068044,3.5,3
18,5.968482949,3.5,3
18,5.653212514,3.5,3
36,5.86923172,3.5,3
36,5.806179974,3.5,3
36,5,3.5,3
54,5.096910013,3.5,3
54,5.357934847,3.5,3
54,5.193124598,3.5,3
72,4.936513742,3.5,3
72,4.695481676,3.5,3
72,4.505149978,3.5,3
90,2.819543936,3.5,3
90,3.584331224,3.5,3
90,2.361727836,3.5,3
0,5.919078092,3.5,5
0,5.826074803,3.5,5
0,5.838849091,3.5,5
18,4.903089987,3.5,5
18,5.792391689,3.5,5
18,5.431363764,3.5,5
36,4.301029996,3.5,5
36,4.954242509,3.5,5
36,5.204119983,3.5,5
54,5.394451681,3.5,5
54,4.491361694,3.5,5
54,4.806179974,3.5,5
72,4.318063335,3.5,5
72,4.120573931,3.5,5
72,4.677606953,3.5,5
90,3.004321374,3.5,5
90,3,3.5,5
90,2.414973348,3.5,5
0,5.897627091,3.5,10
0,5.986771734,3.5,10
0,6.130333768,3.5,10
18,5.707570176,3.5,10
18,5.86923172,3.5,10
18,5.342422681,3.5,10
36,4.954242509,3.5,10
36,5.491361694,3.5,10
36,5.301029996,3.5,10
54,5.245512668,3.5,10
54,5.471291711,3.5,10
54,5.204119983,3.5,10
72,4.357934847,3.5,10
72,4.292256071,3.5,10
72,4.049218023,3.5,10
90,2.903089987,3.5,10
90,3.326335861,3.5,10
90,2.602059991,3.5,10
108,3.204119983,3.5,10
108,3.093421685,3.5,10
108,3.120573931,3.5,10
126,3,3.5,10
126,2.255272505,3.5,10
126,1.477121255,3.5,10
144,2.51851394,3.5,10
144,2.079181246,3.5,10
144,2.832508913,3.5,10
