"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"logN0[1]",5.76237325935031,0.0624970516055341,5.63871410344317,5.76321601293679,5.88383996733707,1,3424
"logN0[2]",5.98489735053136,0.057288866685207,5.87570937475804,5.9837424117486,6.09744780552012,1,3462
"logN0[3]",6.05787865195269,0.0547581224120002,5.94890451125829,6.05881359566867,6.1654264704545,1,4665
"logN0[4]",6.13931876227556,0.0605435106924393,6.0294184303119,6.13880306481974,6.25953409484474,1.01,870
"logN0[5]",6.04024473520788,0.0546016716109049,5.93853075880088,6.03762225824562,6.1515798073419,1,4727
"logN0[6]",6.06014459500351,0.0543343355042386,5.95312111106268,6.05965401507028,6.16642951508191,1,3794
"logN0[7]",6.18486920788779,0.0589604882956124,6.0727914114457,6.18204881858951,6.30642650460358,1,2275
"logN0[8]",5.9347939937326,0.0587959960315046,5.82277487319788,5.9344122581528,6.04892916111045,1,2416
"logN0[9]",5.83365671699426,0.0617997692469972,5.71101469810115,5.83505272545236,5.95193303208592,1,1061
"logN0[10]",6.16535245688642,0.0585249270011973,6.04443794250863,6.16708506234256,6.27963573982923,1,1991
"logN0[11]",6.05198494773504,0.0565459194867635,5.94179004710119,6.05129575046341,6.16654508975471,1,4465
"mean_logN0",6.02161322268067,0.0552628153110923,5.91081681005744,6.02311128469425,6.13363168105658,1,2440
"sigma_logN0",0.165720228821405,0.0538311316161682,0.0931279347649911,0.155995375552081,0.30433437621417,1,918
"sigma_logNt",0.368439541389547,0.00805581468992246,0.353127150822066,0.368259923260859,0.384801361678977,1,4464
"lndp[1,1,1]",1.8427089534866,0.0443280931314535,1.75294796634873,1.84281828607962,1.92611653248745,1,3262
"lndp[1,1,2]",1.00520207802593,0.0926493342362884,0.827783810740604,1.00225879050099,1.18708866719544,1,3107
"lndp[1,2,1]",1.55311444137926,0.0548524982406877,1.44212685764763,1.55375028285001,1.6566874652894,1,3925
"lndp[1,2,2]",0.769650316676202,0.0898306639806654,0.59386699671527,0.767499309299878,0.941586319270633,1,4537
"lndp[1,3,1]",1.49307921902465,0.0567511820346039,1.37663557078442,1.49657914553307,1.59435909676671,1,1728
"lndp[1,3,2]",0.925933598894233,0.117759905935221,0.697586075121616,0.926719486321558,1.14543903882355,1,1163
"lndp[1,4,1]",1.33859229926907,0.0651569615718848,1.2032385096547,1.34228289095044,1.45897622278408,1,3008
"lndp[1,4,2]",0.606823340531217,0.0815386713607207,0.442686584852962,0.609905381460477,0.764711492912225,1,4273
"lndp[1,5,1]",1.55076803304051,0.0539022555649262,1.439152891405,1.55281499119867,1.65014034059938,1,6223
"lndp[1,5,2]",0.846283116266469,0.119376584053526,0.606015348966386,0.846377367241133,1.07865207598736,1,3948
"lndp[1,6,1]",1.43872549358785,0.064296129167967,1.30387534468625,1.44205723684686,1.55680717525314,1,5257
"lndp[1,6,2]",0.693889508934667,0.11667440003506,0.46242163296684,0.68922155783315,0.921579115739482,1,4489
"lndp[1,7,1]",1.19515258490769,0.0717788956270736,1.04265221883033,1.19978305350072,1.32646964967344,1,2929
"lndp[1,7,2]",0.501438859830861,0.0841228276526813,0.334623563174635,0.502447011831712,0.665292024806813,1,3871
